userId1,userId2,cleanlinessLevel_user1,cleanlinessLevel_user2,smokingPreference_user1,smokingPreference_user2,drinkingPreference_user1,drinkingPreference_user2,sleepingSchedule_user1,sleepingSchedule_user2,budgetRange_user1,budgetRange_user2,preferredLocation_user1,preferredLocation_user2,hobbies_user1,hobbies_user2,compatibility_score
176,87,1,3,yes,no,yes,yes,night,irregular,15034,6938,Indiranagar,Indiranagar,"coding,movies","travel,music,cooking",66
2,52,5,5,no,no,yes,no,early,irregular,16878,5210,HSR Layout,Indiranagar,"movies,reading,cooking","cricket,music,travel",60
40,178,5,1,no,yes,no,yes,night,night,6344,6054,Whitefield,Koramangala,"movies,reading,coding",coding,62
198,147,2,1,yes,no,yes,no,irregular,irregular,16497,13129,Koramangala,Whitefield,"movies,cooking",cricket,62
139,53,4,5,yes,no,no,yes,night,early,10463,8897,Whitefield,Indiranagar,"cricket,coding,reading","coding,cricket",61
4,163,2,4,yes,no,yes,no,early,night,17212,17524,BTM Layout,Whitefield,"cooking,music","cricket,music",56
109,11,5,3,yes,yes,no,no,night,irregular,15173,13733,HSR Layout,HSR Layout,"reading,cricket,travel",cricket,86
37,96,3,5,yes,no,yes,yes,early,night,14352,12062,Whitefield,Indiranagar,"cricket,movies,music","cricket,travel,music",66
127,139,5,4,yes,yes,yes,no,night,night,19517,10463,HSR Layout,Whitefield,"travel,cricket","cricket,coding,reading",71
59,9,5,1,yes,yes,yes,yes,night,early,5212,9503,HSR Layout,Whitefield,cricket,cricket,69
37,23,3,1,yes,yes,yes,yes,early,early,14352,7812,Whitefield,BTM Layout,"cricket,movies,music","cooking,music,reading",79
195,4,4,2,no,yes,no,yes,early,early,11914,17212,BTM Layout,BTM Layout,"cricket,coding,movies","cooking,music",66
141,170,1,2,yes,yes,yes,yes,night,night,6335,17336,Koramangala,Indiranagar,"music,cooking","cricket,music,coding",81
26,169,2,2,yes,no,no,no,night,early,13921,15930,Koramangala,BTM Layout,"music,reading",reading,67
18,7,2,2,yes,no,no,yes,early,night,14587,15888,HSR Layout,Indiranagar,movies,reading,57
169,51,2,4,no,no,no,yes,early,night,15930,14723,BTM Layout,Koramangala,reading,"music,reading",66
173,96,1,5,no,no,yes,yes,night,night,13986,12062,Indiranagar,Indiranagar,cricket,"cricket,travel,music",92
45,23,2,1,no,yes,no,yes,irregular,early,7008,7812,Indiranagar,BTM Layout,coding,"cooking,music,reading",55
89,41,4,1,yes,no,no,yes,night,night,6737,11570,BTM Layout,BTM Layout,"cooking,coding",coding,71
27,47,5,3,yes,yes,yes,yes,night,night,19128,15576,Whitefield,BTM Layout,"coding,cricket","travel,cooking,reading",80
99,53,5,5,yes,no,no,yes,early,early,17627,8897,HSR Layout,Indiranagar,"coding,movies,music","coding,cricket",63
30,13,1,3,yes,no,no,no,night,early,15517,6202,Indiranagar,Koramangala,reading,music,56
118,71,2,2,no,no,no,no,early,early,16454,17782,Whitefield,HSR Layout,"movies,reading,cricket",coding,87
165,149,5,5,no,no,no,yes,early,irregular,12683,11932,Koramangala,BTM Layout,"cricket,music,travel","cooking,movies",67
23,137,1,4,yes,no,yes,no,early,early,7812,15589,BTM Layout,BTM Layout,"cooking,music,reading",cricket,64
161,90,5,5,yes,yes,yes,yes,night,early,15538,14084,Whitefield,Whitefield,"coding,reading","cricket,reading",90
4,79,2,2,yes,no,yes,yes,early,early,17212,10283,BTM Layout,Whitefield,"cooking,music","cricket,travel",70
131,56,4,3,yes,yes,yes,yes,early,irregular,9541,5250,BTM Layout,BTM Layout,"travel,movies,coding","cooking,travel",85
52,4,5,2,no,yes,no,yes,irregular,early,5210,17212,Indiranagar,BTM Layout,"cricket,music,travel","cooking,music",47
185,184,1,3,yes,no,yes,yes,night,night,15218,12043,Koramangala,Indiranagar,"coding,music","cricket,coding",73
79,117,2,3,no,yes,yes,yes,early,irregular,10283,9738,Whitefield,Indiranagar,"cricket,travel","cricket,movies,coding",68
58,189,2,2,no,yes,no,yes,night,night,11767,15819,Whitefield,Whitefield,coding,movies,74
59,163,5,4,yes,no,yes,no,night,night,5212,17524,HSR Layout,Whitefield,cricket,"cricket,music",61
57,198,2,2,yes,yes,no,yes,night,irregular,9243,16497,Indiranagar,Koramangala,reading,"movies,cooking",60
19,20,4,3,yes,yes,no,no,early,night,16537,12201,HSR Layout,Whitefield,travel,"cricket,cooking,coding",72
